epoch,train_loss,train_acc,train_acc_top3,val_loss,val_acc,val_acc_top3,val_macro_f1,lr
1,2.587400114218394,0.3484228515625,0.4787633463541667,2.098740181128184,0.4470572916666667,0.578515625,0.42902653435336163,5.9999999999999995e-05
2,1.8051934907088678,0.53465234375,0.6467088216145833,1.4904345337549845,0.5954947916666666,0.6967708333333333,0.5882011615715659,0.00023999999999999995
3,1.463462935694804,0.6175992838541666,0.7121142578125,1.276634654800097,0.6434635416666666,0.7336197916666667,0.6380470598826745,0.0004199999999999999
4,1.3467730518939593,0.6457879231770833,0.7342854817708333,1.211613455414772,0.659375,0.7462239583333333,0.6575808564628854,0.0006
5,1.2863550647335749,0.6608977864583333,0.746236328125,1.1764718743165334,0.6677864583333334,0.7522916666666667,0.6655835566144405,0.0005992693368754342
6,1.255325983479619,0.668669921875,0.7527820638020833,1.1653988744815191,0.6723177083333334,0.7541666666666667,0.6697241003600637,0.0005970809072190339
7,1.2354316495098174,0.6735426432291667,0.7569664713541666,1.1465064700444538,0.675078125,0.7587760416666667,0.6741052512646543,0.0005934453728401049
8,1.22112622957925,0.6769596354166667,0.7600252278645834,1.1285783743858337,0.6795833333333333,0.7640885416666666,0.6778339411785721,0.0005883804456966986
9,1.210386864885688,0.6796212565104167,0.7622115885416667,1.11666785856088,0.681796875,0.7656510416666666,0.6802172587281887,0.0005819108016047332
10,1.2017276285402476,0.6817032877604167,0.7640428059895833,1.110920375784238,0.683359375,0.7665625,0.6811673206546812,0.000574067960019898
11,1.194354095129917,0.6836376953125,0.765513671875,1.1046529801686604,0.685,0.766796875,0.6822264107402815,0.0005648901304780351
12,1.1880730113076667,0.6851798502604166,0.7669254557291667,1.104134444197019,0.6868229166666666,0.7688802083333334,0.6849656571097709,0.0005544220264421199
13,1.1825304439353446,0.6866318359375,0.7680634765625,1.0961414515972137,0.6895572916666667,0.7690625,0.6887600717548988,0.0005427146474627655
14,1.1776081489721935,0.687728515625,0.7690774739583334,1.1050723654031753,0.6870833333333334,0.7663541666666667,0.686722364892938,0.0005298250307135374
15,1.1729863149002195,0.68897802734375,0.7699951171875,1.0930342243115108,0.69,0.770546875,0.6906321623471362,0.0005158159731115784
16,1.168714067198336,0.69005078125,0.7708763020833334,1.0946774526437124,0.6880729166666667,0.769765625,0.6857197133941991,0.0005007557253773395
17,1.1644961102555196,0.69110107421875,0.7716246744791667,1.0907044563690822,0.6909375,0.771015625,0.688803095314488,0.00048471765952393125
18,1.1606665340897937,0.69196484375,0.77246435546875,1.0874089121818542,0.6903645833333333,0.7721354166666666,0.6905708766936995,0.00046777991139605057
19,1.1569347537023327,0.6930185546875,0.77335302734375,1.084929050207138,0.6932291666666667,0.7714322916666667,0.6919453163038846,0.00045002500000000006
20,1.15333688711375,0.6939542643229166,0.7740504557291666,1.0754423016309738,0.6950520833333333,0.775234375,0.692276866661602,0.0004315394254793838
21,1.1497630009266238,0.6947150065104166,0.7747942708333333,1.0851180529594422,0.6934375,0.771328125,0.6925523126886567,0.00041241324769510286
22,1.146638447381556,0.6954986979166666,0.77543115234375,1.0766039454936982,0.6947395833333333,0.77359375,0.6929536018139211,0.00039273964746276555
23,1.1430745015740396,0.6964680989583333,0.7761787109375,1.0721292461951573,0.6939583333333333,0.772890625,0.6928938000990111,0.0003726144725851204
24,1.1399285879656673,0.6973577473958333,0.7767693684895833,1.0743750027815502,0.6954947916666666,0.774765625,0.6940976041375978,0.0003521357708911958
25,1.136866337408622,0.69807763671875,0.77746240234375,1.0735948036114376,0.695546875,0.7738541666666666,0.6945323356800367,0.0003314033125571327
26,1.1336478559076786,0.6988955078125,0.77807763671875,1.0658197766542434,0.6973697916666667,0.7753125,0.6961341175150524,0.00031051810403591527
27,1.1307437704627712,0.6996305338541666,0.7785947265625,1.062045499285062,0.6984375,0.7764583333333334,0.6987010562894027,0.00028958189596408495
28,1.1277545716973643,0.7004332682291666,0.7792688802083333,1.0620510876178741,0.6968229166666666,0.7752604166666667,0.6979410024405313,0.0002686966874428674
29,1.1247197182116409,0.7011531575520833,0.7798707682291667,1.0624086733659108,0.6970572916666666,0.7759895833333333,0.6987604220096151,0.0002479642291088043
30,1.1219327634771665,0.7019928385416667,0.7805852864583334,1.055120971997579,0.6988541666666667,0.7783333333333333,0.6976426187904721,0.00022748552741487965
31,1.1193479034788907,0.7026305338541666,0.7809000651041667,1.0559967648983002,0.6981510416666666,0.7771875,0.6974337846843497,0.00020736035253723456
32,1.1166428955172498,0.7032906901041667,0.7815040690104167,1.0553254495064417,0.700078125,0.7779947916666666,0.7020685952271811,0.0001876867523048972
33,1.114037750542164,0.7039881184895833,0.78203857421875,1.0528299365441005,0.7000260416666667,0.7794791666666666,0.7003459662739462,0.00016856057452061622
34,1.1115954803129038,0.7046276041666667,0.7824444986979167,1.0532793927192687,0.7002604166666667,0.7786979166666667,0.699499326514388,0.00015007500000000008
35,1.1092339298377434,0.7051357421875,0.7830633138020834,1.0471262735128404,0.7003125,0.7789583333333333,0.7013078732975842,0.00013232008860394954
36,1.1068907410427928,0.705845703125,0.7834241536458333,1.051255802512169,0.7009114583333333,0.7790364583333333,0.7020749814874199,0.00011538234047606881
37,1.1048918539086978,0.7063505859375,0.7838253580729166,1.0487171924114227,0.7000260416666667,0.78,0.7010606010264792,9.934427462266047e-05
38,1.1027878777235747,0.7068478190104167,0.7842550455729167,1.0472749507427215,0.70046875,0.779140625,0.7016616853123216,8.428402688842158e-05
39,1.1011614067330957,0.7073707682291667,0.7844964192708334,1.048579692641894,0.6999479166666667,0.7784895833333333,0.7010301218799672,7.027496928646259e-05
40,1.0992554195771616,0.7078875325520834,0.78491943359375,1.04658567070961,0.7005208333333334,0.7794791666666666,0.7014717391128129,5.738535253723455e-05
41,1.0977409416350226,0.7082550455729166,0.7853128255208334,1.0464358697334926,0.7009895833333334,0.779453125,0.702723517799031,4.567797355788004e-05
42,1.0963715253335735,0.7085753580729167,0.7855802408854167,1.0452960270643235,0.7015104166666667,0.7797135416666666,0.7023435861586662,3.520986952196492e-05
43,1.095130691524595,0.7089215494791666,0.78573876953125,1.046173393925031,0.7021614583333333,0.7798958333333333,0.7025746391065538,2.6032039980101905e-05
44,1.0941680445857347,0.7092779947916666,0.7860330403645833,1.0426558957497278,0.7025,0.7807552083333333,0.7036686065248896,1.81891983952668e-05
45,1.093290509449939,0.7094365234375,0.7861227213541667,1.0434059327840806,0.7020052083333334,0.7803645833333334,0.7027504572164408,1.1719554303301315e-05
