rank,true_id,true_name,pred_id,pred_name,count,rate_in_true
1,45,docx,52,epub,1484,0.145433
2,32,bz2,36,rar,1223,0.118164
3,45,docx,36,rar,1183,0.115935
4,38,xz,36,rar,1173,0.113333
5,31,7z,36,rar,1111,0.107676
6,40,exe,36,rar,1092,0.108873
7,13,heic,36,rar,1089,0.106817
8,21,mp4,36,rar,1086,0.105243
9,23,avi,36,rar,1062,0.103227
10,20,mov,36,rar,1050,0.102479
