9124,9,60,136,0,126,45,4,0,0,13,0,0,1,5,5,1,7,0,43,8,0,2,0,3,13,2,19,3,2,1,0,2,1,2,0,13,0,0,1,2,0,1,0,187,5,57,75,159,0,2,1,19,1,5,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,7,1,1,0
97,10067,6,0,0,9,1,1,0,0,1,0,0,5,0,3,9,1,0,2,19,2,1,0,0,0,3,2,1,1,0,1,11,1,0,0,2,0,2,0,2,1,3,4,13,0,0,16,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,2,0
45,6,9213,452,2,90,5,2,2,1,5,2,1,10,66,19,6,4,2,12,78,3,1,2,0,8,5,19,7,0,2,4,13,0,4,2,13,1,2,1,3,2,2,6,1,1,1,8,7,0,1,1,10,0,1,0,0,0,0,0,0,0,0,0,0,17,1,2,0,0,0,0,0,0,0
72,3,293,8936,0,24,0,33,9,0,0,2,1,8,15,19,20,30,2,10,33,1,8,0,1,38,4,98,12,4,9,7,68,11,16,2,70,0,2,3,0,1,3,10,16,25,19,31,39,0,5,1,72,1,1,0,0,0,0,0,0,0,0,0,0,95,0,4,4,0,0,7,2,2,0
0,0,4,0,10111,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,2,0,1,0,3,0,0
234,3,102,52,1,9396,74,93,69,0,10,0,0,0,10,3,11,3,0,27,5,0,1,0,0,29,0,3,0,1,1,2,1,0,3,0,0,0,0,3,0,0,0,0,58,7,55,13,15,0,2,1,9,0,1,0,0,0,0,0,0,0,0,0,1,12,0,6,0,0,1,0,0,2,1
110,1,14,1,0,117,9921,0,0,5,7,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,1,14,17,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,0,18,50,7,47,1,9097,59,17,1,0,0,13,2,21,5,15,0,0,24,9,18,2,3,11,11,2,11,1,2,13,31,1,5,0,94,0,2,6,6,7,2,3,2,26,2,5,2,0,1,14,32,1,3,0,0,0,0,0,0,0,0,0,1,569,2,14,3,0,0,1,0,1,0
1,0,3,9,0,44,8,108,9691,19,0,1,3,1,11,0,4,15,0,1,4,1,4,1,9,16,0,2,4,4,4,1,14,29,6,0,75,0,2,23,2,0,0,3,0,8,4,3,7,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,1,11,0,1,3,0,0,1,1,0,0
5,0,0,0,0,2,15,23,48,10082,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
170,2,11,5,0,70,6,0,0,0,9928,0,0,0,8,9,1,2,0,62,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,18,9,2,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
0,0,0,0,0,1,0,2,1,0,0,10083,0,0,7,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0
0,0,0,11,0,0,0,0,4,0,0,0,9749,0,0,1,4,6,0,0,0,0,3,1,8,12,1,113,31,19,40,1,6,37,10,7,11,3,0,13,0,0,0,0,0,9,0,11,9,0,3,1,27,0,2,0,0,0,0,0,0,0,0,0,2,8,1,0,1,0,0,0,0,0,0
1,0,0,57,0,0,0,30,3,0,0,0,8,1274,0,13,7,77,0,1,520,580,37,87,18,9,206,11,38,68,43,737,2022,230,62,32,1175,0,447,110,322,0,0,0,1,310,2,5,4,0,1,471,513,0,1,0,0,0,0,0,0,0,0,0,0,649,5,0,1,0,1,4,0,2,0
0,0,1,2,0,0,0,0,2,0,0,7,0,0,10099,0,1,0,0,1,181,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
2,3,8,24,0,1,1,23,0,0,10,0,3,3,4,9498,45,25,0,2,5,2,8,1,5,32,6,12,47,22,38,3,7,11,25,4,69,1,0,9,0,0,1,0,4,40,5,37,16,0,1,2,93,0,2,0,0,0,0,0,0,0,0,0,1,104,0,1,23,0,1,1,0,11,0
1,13,9,34,0,1,0,10,4,0,0,0,17,16,0,85,7598,172,0,0,7,14,26,0,10,64,9,47,177,32,318,11,38,63,314,70,55,17,10,93,3,0,0,1,1,58,61,179,47,0,6,8,175,1,39,0,0,0,0,0,0,0,0,0,0,104,1,6,26,0,3,0,0,2,0
5,3,7,145,1,5,0,77,34,0,0,0,42,197,0,96,373,2664,20,1,77,140,72,12,29,165,73,243,351,158,380,130,405,315,401,124,631,52,81,159,57,0,2,2,1,510,58,120,66,0,60,114,867,1,45,1,0,0,0,0,0,0,0,0,10,536,1,7,41,0,0,2,1,22,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,110,10062,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,7,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
119,0,13,5,1,26,15,0,0,0,6,1,1,1,0,6,5,35,3,9823,5,1,0,0,3,3,1,56,4,0,13,1,1,6,7,1,4,7,1,1,1,0,0,6,14,7,16,30,18,0,1,0,9,1,7,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,12,0,0
4,0,0,48,0,3,12,45,4,0,0,0,7,1020,0,21,6,73,0,7,1657,554,38,93,19,16,262,21,34,53,33,628,1673,226,69,20,1068,2,397,100,268,0,3,2,5,272,5,6,16,0,1,503,432,0,0,0,0,0,0,0,0,0,0,0,1,504,2,0,4,0,0,5,1,3,0
2,0,0,71,1,0,0,42,9,0,0,0,7,1165,0,10,9,96,0,0,657,828,32,77,19,18,234,16,34,62,36,736,1948,277,73,15,1141,0,445,118,294,0,0,1,1,311,1,4,3,0,1,506,418,0,3,0,0,0,0,0,0,0,0,0,0,572,6,4,7,0,0,1,4,4,0
0,0,2,10,0,4,0,41,15,0,0,0,1,48,0,6,24,37,0,0,3,15,9359,2,17,113,1,3,14,18,16,16,67,28,25,3,97,0,8,23,4,0,1,4,0,30,7,9,3,0,2,28,31,0,0,0,0,0,0,0,0,0,0,0,0,165,11,6,6,1,1,1,1,3,0
1,0,0,62,0,0,0,30,8,0,0,0,9,1002,0,17,3,68,0,0,496,588,52,1259,18,17,148,26,41,42,32,646,1793,222,63,18,1068,2,380,116,287,1,0,1,1,284,1,6,4,0,1,549,392,0,2,0,0,0,0,0,0,0,0,0,0,516,3,8,4,0,0,0,1,0,0
4,0,4,7,0,1,0,8,15,0,0,0,3,6,0,1,6,22,0,0,32,14,11,3,9166,267,35,41,8,17,40,2,60,51,19,4,74,3,7,24,1,0,0,1,2,15,5,24,7,0,1,27,14,1,0,0,0,0,0,0,0,0,0,0,0,22,2,0,33,0,5,7,0,14,0
13,1,34,97,6,36,0,53,27,0,0,1,15,14,0,46,61,138,0,0,10,24,157,1,255,7409,15,53,56,89,115,5,99,68,77,24,132,9,6,59,3,0,1,1,4,40,12,69,34,0,8,42,52,1,5,0,0,0,0,0,0,0,0,0,0,136,6,22,618,0,10,12,0,19,0
3,0,3,34,0,0,0,27,6,0,0,0,2,725,0,18,6,68,0,0,503,349,31,38,24,20,4327,10,17,57,39,450,955,145,58,17,575,2,247,56,184,0,0,0,2,181,1,6,1,0,0,320,341,0,5,0,0,0,0,0,0,0,0,0,0,391,5,1,6,0,0,4,0,8,0
