epoch,train_loss,train_acc,train_acc_top3,val_loss,val_acc,val_acc_top3,val_macro_f1,lr
1,3.421655526662866,0.13990218098958335,0.27212060546875,3.048571810722351,0.21591145833333333,0.366875,0.1780701808520034,1e-05
2,2.8595058646003406,0.271091796875,0.413529296875,2.55148153702418,0.33893229166666666,0.475,0.3165561772678327,3.9999999999999996e-05
3,2.4208331764067212,0.3848728841145833,0.5171632486979166,2.179614364306132,0.4320572916666667,0.5580989583333333,0.41569670501754596,7e-05
4,2.0314814296886325,0.47931315104166666,0.6017615559895834,1.7597379728158316,0.5276822916666667,0.64671875,0.5135549959424272,0.0001
5,1.7557587366700171,0.5454539388020834,0.6567288411458333,1.6006239469846089,0.5656510416666667,0.6733854166666666,0.5531621779617905,9.987832431047822e-05
6,1.6308143827269475,0.5764344075520833,0.6800027669270833,1.4970633363723755,0.5914322916666667,0.6923958333333333,0.5790766704817139,9.951389003364144e-05
7,1.5510963041720291,0.5960271809895833,0.6947633463541667,1.4293918991088868,0.6076822916666667,0.705390625,0.5941187442701849,9.89084726566536e-05
8,1.4946682322931786,0.6099254557291667,0.7054171549479167,1.3762148263057072,0.6191666666666666,0.715,0.6133773637501334,9.806502171211903e-05
9,1.4480270152625938,0.62128955078125,0.71400537109375,1.336033553679784,0.6285416666666667,0.7226302083333334,0.6217346141025496,9.698764640825613e-05
10,1.4113561113675435,0.629998046875,0.7210133463541667,1.3041595820585887,0.63640625,0.7267708333333334,0.6314027000928694,9.568159560924791e-05
11,1.3824279803285997,0.6366717122395833,0.7264638671875,1.2788607082764307,0.6433072916666667,0.7317447916666666,0.6397008193246161,9.41532322633034e-05
12,1.3604160118363797,0.6420302734375,0.7307431640625,1.253201365272204,0.6489322916666667,0.7373697916666667,0.6431505771059143,9.241000240301346e-05
13,1.3422117784967025,0.646376953125,0.73422900390625,1.2478995992739996,0.6503385416666667,0.7373958333333334,0.6477187079562412,9.046039886902861e-05
14,1.3274523428082465,0.6499475911458333,0.7371614583333334,1.2450567827622097,0.6507552083333333,0.736875,0.6484065393993458,8.831391993379293e-05
15,1.3149969512460133,0.6529532877604166,0.7396883138020833,1.217749208410581,0.6564583333333334,0.743984375,0.651674129971553,8.598102302691561e-05
16,1.3043690531365573,0.65559814453125,0.7417861328125,1.2056381891171137,0.6601302083333334,0.7453385416666667,0.6545265528824081,8.347307378762495e-05
17,1.2948909503805142,0.6578557942708333,0.7435428059895833,1.203468355735143,0.6601822916666666,0.7453385416666667,0.6558711042555241,8.080229069251661e-05
18,1.2863814263368647,0.6600302734375,0.7454306640625,1.191228358745575,0.6624739583333333,0.7479166666666667,0.6572458915038552,7.798168552836378e-05
