rank,true_id,true_name,pred_id,pred_name,count,rate_in_true
1,31,7z,32,bz2,2100,0.203528
2,38,xz,32,bz2,2057,0.198744
3,13,heic,32,bz2,2022,0.198333
4,40,exe,32,bz2,1952,0.194616
5,21,mp4,32,bz2,1948,0.188778
6,45,docx,52,epub,1804,0.176793
7,23,avi,32,bz2,1793,0.174281
8,20,mov,32,bz2,1673,0.163283
9,51,djvu,32,bz2,1610,0.157473
10,45,docx,36,rar,1496,0.146609
