rank,true_id,true_name,pred_id,pred_name,count,rate_in_true
1,31,7z,32,bz2,4743,0.459682
2,13,heic,32,bz2,4614,0.452575
3,38,xz,32,bz2,4579,0.442415
4,40,exe,32,bz2,4440,0.442672
5,21,mp4,32,bz2,4400,0.426398
6,23,avi,32,bz2,4005,0.389288
7,20,mov,32,bz2,3848,0.375561
8,36,rar,32,bz2,3832,0.373307
9,51,djvu,32,bz2,3583,0.350450
10,45,docx,32,bz2,2763,0.270776
