9222,13,38,85,0,91,20,2,2,0,3,1,0,0,4,0,1,0,0,94,1,1,1,0,1,0,2,8,0,0,0,1,4,0,0,0,5,0,0,4,0,1,0,8,135,8,81,54,249,0,1,0,15,0,5,0,0,0,0,0,0,0,0,0,0,12,2,2,1,0,0,2,1,0,1
102,10098,1,0,0,8,3,1,0,1,1,0,0,2,0,0,1,0,0,0,3,2,0,0,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,1,1,1,4,24,7,0,2,4,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
60,6,9378,372,1,38,1,3,2,0,1,1,1,6,66,2,1,1,0,13,8,6,1,3,0,1,2,13,0,3,0,2,37,0,2,0,2,2,0,1,2,0,1,70,8,2,2,3,3,0,0,2,9,0,2,0,0,0,0,0,0,0,0,0,3,24,1,1,0,0,0,2,2,1,0
191,10,167,9122,2,22,0,14,15,0,1,0,4,5,7,2,6,3,1,12,15,3,8,1,1,4,4,71,1,0,0,2,109,1,5,0,23,0,0,12,1,1,2,33,56,6,12,24,13,0,0,0,70,0,14,0,0,0,0,0,0,0,0,0,0,119,3,1,0,0,0,2,1,0,0
0,0,0,0,10110,0,0,1,0,2,0,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
185,4,66,18,0,9565,43,111,65,0,6,1,0,0,7,1,0,0,0,75,2,0,1,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,6,57,13,32,6,29,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,2,0,0
104,0,10,1,1,61,9942,1,1,6,6,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,40,3,6,25,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,10,44,13,8,9,9047,59,9,1,1,0,21,1,4,0,3,0,1,26,7,10,1,3,1,7,4,1,4,0,6,88,0,4,0,26,0,0,5,2,5,2,8,2,10,2,7,0,0,0,7,26,1,1,0,0,0,0,0,0,0,0,0,10,763,3,12,1,0,0,2,2,0,0
7,0,2,6,0,38,7,75,9941,7,0,0,2,1,9,0,4,1,0,1,2,1,2,1,1,0,0,0,0,0,0,0,19,3,1,0,11,1,0,2,1,0,0,4,1,4,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,10,1,0,0,0,0,2,1,0,0
2,0,0,1,0,1,15,13,50,10102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
