rank,true_id,true_name,pred_id,pred_name,count,rate_in_true
1,45,docx,52,epub,1392,0.136417
2,45,docx,36,rar,1199,0.117503
3,32,bz2,36,rar,1174,0.113430
4,38,xz,36,rar,1099,0.106184
5,31,7z,36,rar,1070,0.103702
6,40,exe,36,rar,1053,0.104985
7,21,mp4,36,rar,1046,0.101366
8,23,avi,36,rar,1037,0.100797
9,13,heic,36,rar,1017,0.099755
10,20,mov,36,rar,987,0.096330
