9018,14,88,179,0,116,50,8,1,3,19,0,1,0,5,7,4,5,0,38,9,2,3,0,2,12,2,29,2,1,1,0,3,0,2,0,14,0,0,1,0,0,0,1,172,6,109,69,121,0,1,1,23,1,8,0,0,0,0,0,0,0,0,0,0,10,3,4,2,0,0,10,1,1,0
81,10105,0,2,0,10,1,1,0,2,2,0,0,1,0,1,9,0,0,2,18,5,1,0,0,0,7,0,1,0,1,2,5,1,0,1,2,0,2,0,4,0,2,5,5,0,2,7,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,0
56,1,8996,523,0,70,5,19,0,1,10,0,0,11,72,10,11,6,0,6,107,6,4,7,2,21,25,10,5,4,2,8,3,2,9,2,9,0,2,1,5,1,2,3,8,14,4,21,6,0,0,26,15,0,3,0,0,0,0,0,0,0,0,0,0,22,3,2,10,0,0,1,1,1,0
111,2,379,8629,2,31,1,34,9,0,2,1,4,9,10,19,28,27,0,22,32,3,6,0,3,72,7,60,18,10,11,8,39,13,26,5,91,0,3,24,3,0,1,12,12,66,11,43,37,0,2,2,88,0,7,0,0,0,0,0,0,0,0,0,0,127,7,13,5,0,1,11,3,0,0
0,0,0,0,10132,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
236,4,80,48,0,9508,66,38,78,0,22,0,0,2,6,3,9,0,0,17,6,0,0,0,0,14,0,3,1,0,2,0,4,1,1,0,3,0,0,1,0,0,0,1,49,5,35,21,24,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,2,1,0,0
119,1,11,4,0,93,9945,0,0,5,11,0,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,5,12,17,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,6,40,16,43,0,8966,104,12,0,0,0,15,4,6,4,25,0,0,20,8,23,4,5,15,25,6,9,6,6,13,28,1,10,0,80,1,8,11,9,0,1,8,2,40,4,7,1,0,0,20,46,0,7,0,0,0,0,0,0,0,0,0,7,569,15,22,8,0,2,1,1,3,1
4,0,1,6,0,44,2,114,9787,24,1,1,8,2,11,0,2,4,0,1,5,3,5,1,7,20,0,5,2,3,6,1,7,14,0,0,32,0,0,10,0,0,0,4,5,5,5,2,6,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,1,0,0,0,0
9,1,0,0,0,2,14,10,46,10093,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
178,4,19,5,0,38,13,0,2,1,9982,0,0,0,8,1,0,0,0,29,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,8,3,3,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
0,0,0,1,0,0,0,0,0,0,0,10091,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0
0,0,0,6,1,0,0,0,10,0,0,0,9826,0,0,1,6,2,0,0,1,0,1,0,16,16,0,82,25,15,26,1,1,25,12,3,14,3,0,20,0,0,0,0,1,6,2,7,8,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0
1,0,3,75,0,1,0,51,12,0,0,0,12,948,0,16,17,120,0,1,410,710,61,215,29,18,390,33,49,78,54,781,903,278,112,32,1017,6,524,250,566,0,0,0,2,484,7,8,7,0,13,602,500,0,37,0,0,0,0,0,0,0,0,0,0,721,11,1,4,0,0,21,0,4,0
2,0,0,2,0,1,0,0,2,0,0,4,0,0,10095,0,0,0,0,2,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,1,1,0
2,0,3,14,0,1,0,11,0,0,0,0,1,2,6,9750,45,22,0,0,3,4,8,1,2,14,11,4,34,13,12,1,5,11,27,5,30,0,5,7,3,0,0,0,0,32,5,26,2,0,0,4,49,0,6,0,0,0,0,0,0,0,0,0,0,86,3,3,19,0,2,1,0,7,0
2,8,15,39,0,5,0,22,13,0,0,0,9,17,0,62,7477,128,0,0,11,20,40,1,21,86,15,99,166,55,276,13,44,52,273,39,49,24,6,92,13,0,0,0,4,73,43,157,52,0,12,13,211,0,64,0,0,0,0,0,0,0,0,0,0,137,21,7,45,0,9,7,0,9,0
15,3,26,112,1,7,0,98,26,0,0,0,32,167,0,51,338,2818,30,1,48,135,86,34,62,145,138,220,287,205,306,145,223,299,444,101,538,46,115,263,144,0,2,1,4,539,52,127,74,0,38,113,788,3,64,0,0,0,1,0,2,0,0,0,0,526,25,12,72,3,7,3,0,27,0
