epoch,train_loss,train_acc,train_acc_top3,val_loss,val_acc,val_acc_top3,val_macro_f1,val_jpeg_acc,val_jpeg_support,lr
1,2.1903804931640627,0.44839029947916664,0.5573955078125,1.8204688133994738,0.53090625,0.6339674479166667,0.5054929631364778,0.684708152436083,10365,0.0001
2,1.6137519938151041,0.5713986002604167,0.6735234375,1.439534802834193,0.60860546875,0.7043541666666666,0.5941192672329086,0.7987457790641582,10365,0.00039999999999999996
3,1.4413299967447917,0.60843017578125,0.7044464518229167,1.3538092480301858,0.6267473958333334,0.7176692708333333,0.6141512212026737,0.7865894838398456,10365,0.0006999999999999999
4,1.3899366149902344,0.6200901692708334,0.7137086588541667,1.334324006706476,0.6333411458333333,0.7238619791666666,0.6252919652030787,0.8113844669561022,10365,0.001
5,1.3533887837727865,0.62833154296875,0.7200301106770833,1.3146293951570989,0.63428125,0.727046875,0.6277847776974287,0.8705258080077183,10365,0.0009987821469273992
6,1.3343402201334635,0.6328963216145833,0.7234251302083333,1.2904780836800733,0.6434973958333333,0.7301080729166667,0.6347965643609721,0.8264351181862035,10365,0.0009951345209673482
7,1.322006072998047,0.6358614908854167,0.7256534830729167,1.2994244110882283,0.6405963541666667,0.72981640625,0.6335850855521497,0.863772310660878,10365,0.0009890748929868663
8,1.3123641153971355,0.6379749348958333,0.7274348958333333,1.2816981102426848,0.64391015625,0.73251953125,0.6343082411196341,0.8178485287023637,10365,0.0009806327848843625
9,1.3046152648925782,0.6400841471354166,0.7287721354166666,1.2673973257939022,0.6484010416666667,0.73546875,0.6400142209210199,0.8122527737578389,10365,0.0009698493257619149
10,1.2980281880696614,0.6414703776041667,0.72985986328125,1.266307639102141,0.6485026041666667,0.7339778645833334,0.6420255652208701,0.8185238784370478,10365,0.0009567770515484182
11,1.2923407287597657,0.64285009765625,0.7309832356770833,1.256362425893545,0.6501223958333333,0.736296875,0.6403041690228877,0.8362759286058852,10365,0.0009414796490498205
12,1.2871864013671874,0.64399169921875,0.7320553385416667,1.2512610322634379,0.6529635416666667,0.7366223958333333,0.6475027854517402,0.8514230583695128,10365,0.000924031645673405
13,1.282428944905599,0.64499462890625,0.7328058268229166,1.2548091640174388,0.6518216145833333,0.73710546875,0.6446703355312164,0.8387843704775687,10365,0.0009045180463377549
14,1.2778096618652344,0.6460540364583334,0.7336111653645834,1.2669816551109154,0.6495442708333333,0.7331341145833333,0.6492304398280526,0.7801254220935842,10365,0.0008830339193373329
15,1.2732737426757812,0.6470528971354167,0.7344523111979167,1.2484448517262936,0.65348828125,0.73721875,0.6489726462684541,0.8467920887602508,10365,0.0008596839331793085
16,1.2694672546386718,0.6479353841145833,0.7352001953125,1.242322709918022,0.6544791666666666,0.7392578125,0.6482889746834727,0.8118668596237337,10365,0.0008345818466491111
17,1.2649243062337239,0.648943359375,0.7360779622395833,1.2418899728655814,0.6546640625,0.7379557291666666,0.645536980789269,0.9128798842257597,10365,0.0008078499545890628
